(2, 1, {'free_bw': 38.9913728, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008627200000000002, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 3, {'free_bw': 31.9919456, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0080544, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 8, {'free_bw': 6.9914688, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008531200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(2, 9, {'free_bw': 27.9922496, 'delay': 0, 'loss': 0.0, 'used_bw': 0.007750399999999999, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(1, 9, {'free_bw': 37.99164, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00836, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(3, 4, {'free_bw': 20.9913728, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008627200000000002, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 34.9911648, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008835200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 5, {'free_bw': 39.9913568, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0086432, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 38.9913728, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008627200000000002, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 8, {'free_bw': 4.9920784, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0079216, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(5, 6, {'free_bw': 30.9915648, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0084352, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(6, 7, {'free_bw': 15.9915648, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0084352, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 8, {'free_bw': 32.9913728, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008627200000000002, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 10.9917568, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008243200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(8, 10, {'free_bw': 29.9922704, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0077296000000000005, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.83})
(8, 11, {'free_bw': 7.9922704, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0077296000000000005, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(9, 10, {'free_bw': 27.9922704, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0077296000000000005, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 25.9919488, 'delay': 0, 'loss': 100, 'used_bw': 0.0080512, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 41.23})
(11, 12, {'free_bw': 33.9918528, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0081472, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 40.0})
(11, 16, {'free_bw': 20.9919488, 'delay': 0, 'loss': 100, 'used_bw': 0.0080512, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 70.71})
(11, 14, {'free_bw': 17.991928, 'delay': 0, 'loss': 100, 'used_bw': 0.008072, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 31.62})
(11, 15, {'free_bw': 33.9926336, 'delay': 0, 'loss': 100, 'used_bw': 0.0073663999999999995, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 50.0})
(12, 13, {'free_bw': 22.9918528, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0081472, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(12, 14, {'free_bw': 22.9926336, 'delay': 0, 'loss': 100, 'used_bw': 0.0073663999999999995, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 42.43})
(13, 14, {'free_bw': 21.9919488, 'delay': 0, 'loss': 100, 'used_bw': 0.0080512, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 30.0})
(13, 20, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(14, 15, {'free_bw': 13.9927024, 'delay': 0, 'loss': 100, 'used_bw': 0.0072976000000000004, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 41.23})
(14, 19, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(16, 15, {'free_bw': 38.9928416, 'delay': 0, 'loss': 100, 'used_bw': 0.0071584, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 50.0})
(16, 17, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(15, 19, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(15, 17, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(15, 18, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(22, 21, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(22, 23, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(22, 17, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(22, 18, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(22, 25, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(21, 17, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(21, 25, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(17, 18, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(23, 18, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(23, 19, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(23, 27, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(23, 24, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(23, 26, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(18, 19, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(19, 20, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(19, 24, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(20, 24, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(27, 26, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(27, 30, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(27, 24, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(26, 30, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(26, 25, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(30, 29, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(29, 28, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
(25, 28, {'free_bw': 0, 'delay': 0, 'loss': 100, 'used_bw': 0, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 0})
