(2, 1, {'free_bw': 38.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 3, {'free_bw': 32.0, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 8, {'free_bw': 6.999808153477218, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(2, 9, {'free_bw': 27.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(1, 9, {'free_bw': 37.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177462, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(3, 4, {'free_bw': 20.999808306709266, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019169329073482423, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 34.99980819180819, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019180819180819177, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 5, {'free_bw': 39.99980830670926, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0001916932907348243, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 39.0, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 8, {'free_bw': 4.999808306709265, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0001916932907348243, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(5, 6, {'free_bw': 30.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088731e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(6, 7, {'free_bw': 16.0, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 8, {'free_bw': 32.99980819180819, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019180819180819177, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 10.999904095904096, 'delay': 0, 'loss': 0.0, 'used_bw': 9.590409590409589e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(8, 10, {'free_bw': 29.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.83})
