(2, 1, {'free_bw': 38.9910528, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0089472, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 3, {'free_bw': 31.9919456, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0080544, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 8, {'free_bw': 6.9912448, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008755200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(2, 9, {'free_bw': 27.9912448, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008755200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(1, 9, {'free_bw': 37.9911488, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0088512, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(3, 4, {'free_bw': 20.9919456, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0080544, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 34.9913728, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008627200000000002, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 5, {'free_bw': 39.991992, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008008, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 38.9912448, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008755200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 8, {'free_bw': 4.9914528, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008547200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(5, 6, {'free_bw': 30.9911728, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0088272, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(6, 7, {'free_bw': 15.9914528, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008547200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 8, {'free_bw': 32.99132, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00868, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 10.9922176, 'delay': 0, 'loss': 0.0, 'used_bw': 0.007782399999999999, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(8, 10, {'free_bw': 29.9914528, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008547200000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.83})
(8, 11, {'free_bw': 7.9914368, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0085632, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(9, 10, {'free_bw': 27.9915648, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0084352, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 25.9916448, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0083552, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 12, {'free_bw': 33.9914976, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0085024, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(11, 16, {'free_bw': 20.9916448, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0083552, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 70.71})
(11, 14, {'free_bw': 17.9926784, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0073216, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(11, 15, {'free_bw': 33.9921584, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0078416, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(12, 13, {'free_bw': 22.9921584, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0078416, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(12, 14, {'free_bw': 22.9916608, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008339200000000001, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 42.43})
(13, 14, {'free_bw': 21.99172, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00828, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 30.0})
(13, 20, {'free_bw': 29.9923504, 'delay': 0, 'loss': 100, 'used_bw': 0.0076496, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 30.0})
(14, 15, {'free_bw': 13.9923664, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0076336, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(14, 19, {'free_bw': 27.9917248, 'delay': 0, 'loss': 100, 'used_bw': 0.0082752, 'pkt_err': -1, 'pkt_drop': -1, 'distance': 31.62})
(16, 15, {'free_bw': 38.9922544, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0077456, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
