(17, 21, {'free_bw': 27.99980807676929, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0001919232307077168, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(17, 18, {'free_bw': 7.999808076769292, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0001919232307077168, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(21, 22, {'free_bw': 27.999904038384646, 'delay': 0, 'loss': 0.0, 'used_bw': 9.596161535385855e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.21})
(21, 25, {'free_bw': 33.9999041342121, 'delay': 0, 'loss': 0.0, 'used_bw': 9.58657878969443e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 39.05})
(22, 18, {'free_bw': 17.999904038384646, 'delay': 0, 'loss': 0.0, 'used_bw': 9.59616153538584e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.4})
(22, 23, {'free_bw': 23.999904038384646, 'delay': 0, 'loss': 0.0, 'used_bw': 9.59616153538584e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.25})
(22, 25, {'free_bw': 10.999904134212104, 'delay': 0, 'loss': 0.0, 'used_bw': 9.586578789694418e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 43.01})
(18, 19, {'free_bw': 10.999904038384646, 'delay': 0, 'loss': 0.0, 'used_bw': 9.596161535385855e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(18, 23, {'free_bw': 20.999904038384646, 'delay': 0, 'loss': 0.0, 'used_bw': 9.596161535385855e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 56.57})
(19, 23, {'free_bw': 31.999904038384646, 'delay': 0, 'loss': 0.0, 'used_bw': 9.59616153538584e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(19, 20, {'free_bw': 21.99990405756546, 'delay': 0, 'loss': 0.0, 'used_bw': 9.594243453927644e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(19, 24, {'free_bw': 23.999904038384646, 'delay': 0, 'loss': 0.0, 'used_bw': 9.596161535385855e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(23, 27, {'free_bw': 23.999904038384646, 'delay': 0, 'loss': 0.0, 'used_bw': 9.59616153538584e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(23, 26, {'free_bw': 30.999904038384646, 'delay': 0, 'loss': 0.0, 'used_bw': 9.59616153538584e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 32.02})
(23, 24, {'free_bw': 24.999904038384646, 'delay': 0, 'loss': 0.0, 'used_bw': 9.59616153538584e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(20, 24, {'free_bw': 11.99990405756546, 'delay': 0, 'loss': 0.0, 'used_bw': 9.594243453927644e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(27, 24, {'free_bw': 37.99990403838465, 'delay': 0, 'loss': 0.0, 'used_bw': 9.59616153538584e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(27, 30, {'free_bw': 15.999904038384646, 'delay': 0, 'loss': 0.0, 'used_bw': 9.59616153538584e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(27, 26, {'free_bw': 30.99980807676929, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0001919232307077168, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.41})
(25, 26, {'free_bw': 29.999904134212102, 'delay': 0, 'loss': 0.0, 'used_bw': 9.58657878969443e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 65.19})
(25, 28, {'free_bw': 31.999904134212102, 'delay': 0, 'loss': 0.0, 'used_bw': 9.58657878969443e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 39.05})
(30, 26, {'free_bw': 35.99990403838465, 'delay': 0, 'loss': 0.0, 'used_bw': 9.596161535385847e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 26.93})
(30, 29, {'free_bw': 32.99990403838465, 'delay': 0, 'loss': 0.0, 'used_bw': 9.59616153538584e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(29, 28, {'free_bw': 34.99990401919616, 'delay': 0, 'loss': 0.0, 'used_bw': 9.598080383923206e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
