(2, 1, {'free_bw': 38.99924220623501, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0007577937649880099, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 3, {'free_bw': 31.999525274725276, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0004747252747252748, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 8, {'free_bw': 6.999242206235012, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0007577937649880093, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(2, 9, {'free_bw': 27.999413269384494, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0005867306155075942, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(1, 9, {'free_bw': 37.999353729254146, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0006462707458508302, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(3, 4, {'free_bw': 20.99950929070929, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0004907092907092908, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 34.999413386613384, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0005866133866133867, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 5, {'free_bw': 39.9994128, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0005872000000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 38.99944971005799, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0005502899420115976, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 8, {'free_bw': 4.999433713257348, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0005662867426514699, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(5, 6, {'free_bw': 30.999792041591682, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00020795840831833626, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(6, 7, {'free_bw': 15.999680063987203, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0003199360127974404, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 8, {'free_bw': 32.999524895021, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0004751049790041994, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 10.999792, 'delay': 0, 'loss': 0.0, 'used_bw': 0.000208, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(8, 10, {'free_bw': 29.999584415584415, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0004155844155844157, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.83})
(8, 11, {'free_bw': 7.9997920415916814, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00020795840831833645, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(9, 10, {'free_bw': 27.999584415584415, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0004155844155844157, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 25.999808191808192, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019180819180819185, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 12, {'free_bw': 33.999508898220355, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0004911017796440711, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(11, 16, {'free_bw': 20.99969606078784, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0003039392121575684, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 70.71})
(11, 14, {'free_bw': 17.999808191808192, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019180819180819177, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(11, 15, {'free_bw': 33.999584083183365, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0004159168166366725, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(12, 13, {'free_bw': 22.999792, 'delay': 0, 'loss': 0.0, 'used_bw': 0.000208, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(12, 14, {'free_bw': 22.999792207792208, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00020779220779220786, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(13, 14, {'free_bw': 21.99968031968032, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0003196803196803197, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(13, 20, {'free_bw': 30.0, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(16, 15, {'free_bw': 38.99979204159168, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00020795840831833634, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 17, {'free_bw': 25.999792, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0002079999999999999, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(14, 15, {'free_bw': 13.99968031968032, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0003196803196803197, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(14, 19, {'free_bw': 27.99968031968032, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0003196803196803198, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(15, 17, {'free_bw': 31.999680063987203, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0003199360127974405, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(15, 19, {'free_bw': 22.999680063987203, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0003199360127974404, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 53.85})
(15, 18, {'free_bw': 17.999680063987203, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0003199360127974405, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(17, 22, {'free_bw': 34.999792, 'delay': 0, 'loss': 0.0, 'used_bw': 0.000208, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(17, 21, {'free_bw': 27.99968, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00031999999999999986, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(17, 18, {'free_bw': 7.999792, 'delay': 0, 'loss': 0.0, 'used_bw': 0.000208, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(21, 22, {'free_bw': 27.999904, 'delay': 0, 'loss': 0.0, 'used_bw': 9.6e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.21})
(21, 25, {'free_bw': 33.99968, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00031999999999999986, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 39.05})
(22, 18, {'free_bw': 17.999792, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0002079999999999999, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.4})
(22, 23, {'free_bw': 23.999792, 'delay': 0, 'loss': 0.0, 'used_bw': 0.000208, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.25})
(22, 25, {'free_bw': 10.999696, 'delay': 0, 'loss': 0.0, 'used_bw': 0.000304, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 43.01})
(18, 19, {'free_bw': 10.999792041591682, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00020795840831833634, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(18, 23, {'free_bw': 20.999792, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0002079999999999999, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 56.57})
(19, 23, {'free_bw': 31.999680063987203, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0003199360127974405, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(19, 20, {'free_bw': 21.999792041591682, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00020795840831833634, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(19, 24, {'free_bw': 23.999792041591682, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00020795840831833645, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(23, 27, {'free_bw': 23.999792, 'delay': 0, 'loss': 0.0, 'used_bw': 0.000208, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(23, 26, {'free_bw': 30.99968, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00032, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 32.02})
(23, 24, {'free_bw': 24.99968, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00032, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(20, 24, {'free_bw': 11.999904, 'delay': 0, 'loss': 0.0, 'used_bw': 9.6e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(27, 24, {'free_bw': 37.999696, 'delay': 0, 'loss': 0.0, 'used_bw': 0.000304, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(27, 30, {'free_bw': 15.999696060787842, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0003039392121575684, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(27, 26, {'free_bw': 30.999904, 'delay': 0, 'loss': 0.0, 'used_bw': 9.599999999999998e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.41})
(25, 26, {'free_bw': 29.999584, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0004159999999999998, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 65.19})
(25, 28, {'free_bw': 31.99969606078784, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0003039392121575685, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 39.05})
(30, 26, {'free_bw': 35.999584083183365, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0004159168166366725, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 26.93})
