(2, 1, {'free_bw': 38.99651337727801, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003486622721985265, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 3, {'free_bw': 31.996882512601783, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003117487398216363, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 8, {'free_bw': 6.9968173710740595, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003182628925940286, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(2, 9, {'free_bw': 27.996975571927102, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003024428072896471, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(1, 9, {'free_bw': 37.9968167539267, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003183246073298429, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(3, 4, {'free_bw': 20.996910430399378, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003089569600620395, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 34.9968167539267, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003183246073298429, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 5, {'free_bw': 39.99672431174874, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0032756882512601773, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 38.99681737107406, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0031826289259402874, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 8, {'free_bw': 4.99691043039938, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003089569600620395, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(5, 6, {'free_bw': 30.9968167539267, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003183246073298429, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(6, 7, {'free_bw': 15.99697498545666, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003025014543339151, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 8, {'free_bw': 32.9968167539267, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003183246073298429, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 10.99691043039938, 'delay': 0, 'loss': 1.5507883173946757, 'used_bw': 0.003089569600620395, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 31.62})
(8, 10, {'free_bw': 29.996819837272376, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0031801627276249523, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.83})
(8, 11, {'free_bw': 7.996816753926701, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003183246073298429, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(9, 10, {'free_bw': 27.996726850058117, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0032731499418829917, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 25.996884928322356, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003115071677644323, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 12, {'free_bw': 33.99697498545666, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003025014543339151, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(11, 16, {'free_bw': 20.996819837272376, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003180162727624951, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 70.71})
(11, 14, {'free_bw': 17.99682045322487, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003179546775130738, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(11, 15, {'free_bw': 33.99681737107406, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0031826289259402874, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(12, 13, {'free_bw': 22.9968167539267, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003183246073298429, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(12, 14, {'free_bw': 22.996913422428822, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003086577571179547, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(13, 14, {'free_bw': 21.996913422428822, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003086577571179547, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(13, 20, {'free_bw': 29.99700581170089, 'delay': 0, 'loss': 0.0, 'used_bw': 0.002994188299108873, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(16, 17, {'free_bw': 25.996819837272376, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003180162727624951, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 15, {'free_bw': 38.99697791553661, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030220844633862837, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(17, 15, {'free_bw': 31.996910430399378, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030895696006203958, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(17, 22, {'free_bw': 34.99691043039938, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030895696006203958, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(17, 18, {'free_bw': 7.99691043039938, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030895696006203958, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(17, 21, {'free_bw': 27.996909831297266, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030901687027341477, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(15, 14, {'free_bw': 13.997043579314353, 'delay': 0, 'loss': 0.0, 'used_bw': 0.002956420685647879, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(15, 18, {'free_bw': 17.996910430399378, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003089569600620395, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(15, 19, {'free_bw': 22.996910430399378, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030895696006203953, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 53.85})
(14, 19, {'free_bw': 27.996913422428822, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003086577571179547, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(20, 24, {'free_bw': 11.996912824486634, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030871755133669125, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(20, 19, {'free_bw': 21.996819837272376, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003180162727624951, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(24, 23, {'free_bw': 24.996910430399378, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030895696006203958, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(24, 19, {'free_bw': 23.99672431174874, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003275688251260178, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(24, 27, {'free_bw': 37.99691043039938, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030895696006203953, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(19, 23, {'free_bw': 31.99681737107406, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0031826289259402865, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(19, 18, {'free_bw': 10.99691043039938, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030895696006203953, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(23, 22, {'free_bw': 23.996909831297266, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030901687027341473, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.25})
(23, 18, {'free_bw': 20.996909831297266, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003090168702734148, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 56.57})
(23, 27, {'free_bw': 23.996909831297266, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030901687027341473, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(23, 26, {'free_bw': 30.9968167539267, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003183246073298429, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 32.02})
(22, 25, {'free_bw': 10.996977915536613, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003022084463386284, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 43.01})
(22, 18, {'free_bw': 17.99710529377545, 'delay': 0, 'loss': 0.0, 'used_bw': 0.002894706224549156, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.4})
(22, 21, {'free_bw': 27.996881908086095, 'delay': 0, 'loss': 0.0, 'used_bw': 0.003118091913903432, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.21})
(25, 21, {'free_bw': 33.996912824486635, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030871755133669116, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 39.05})
(25, 28, {'free_bw': 31.996819837272376, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0031801627276249523, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 39.05})
(25, 26, {'free_bw': 29.996912824486632, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0030871755133669116, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 65.19})
