(2, 1, {'free_bw': 38.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 3, {'free_bw': 31.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 8, {'free_bw': 6.999904076738609, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088719e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(2, 9, {'free_bw': 27.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088734e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(1, 9, {'free_bw': 38.0, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(3, 4, {'free_bw': 20.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 35.0, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 5, {'free_bw': 40.0, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 38.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 8, {'free_bw': 4.999808153477218, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(5, 6, {'free_bw': 30.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(6, 7, {'free_bw': 15.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 8, {'free_bw': 32.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 10.999808153477218, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177468, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(8, 10, {'free_bw': 29.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.83})
(8, 11, {'free_bw': 7.999808153477218, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(9, 10, {'free_bw': 27.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 26.0, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 12, {'free_bw': 33.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088734e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(11, 16, {'free_bw': 20.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088734e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 70.71})
(11, 14, {'free_bw': 17.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088734e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(11, 15, {'free_bw': 33.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(12, 13, {'free_bw': 22.99990405756546, 'delay': 0, 'loss': 0.0, 'used_bw': 9.594243453927644e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(12, 14, {'free_bw': 22.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(13, 14, {'free_bw': 21.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088734e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(13, 20, {'free_bw': 29.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177468, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(16, 15, {'free_bw': 38.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 17, {'free_bw': 25.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088734e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(14, 15, {'free_bw': 13.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088734e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(14, 19, {'free_bw': 27.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(15, 17, {'free_bw': 31.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(15, 19, {'free_bw': 22.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088734e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 53.85})
(15, 18, {'free_bw': 17.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(17, 22, {'free_bw': 34.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(17, 21, {'free_bw': 27.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(17, 18, {'free_bw': 7.999904076738609, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(21, 22, {'free_bw': 27.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.21})
(21, 25, {'free_bw': 33.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 39.05})
(22, 18, {'free_bw': 17.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177468, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.4})
(22, 23, {'free_bw': 23.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.25})
(22, 25, {'free_bw': 10.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 43.01})
(18, 19, {'free_bw': 10.999808153477218, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(18, 23, {'free_bw': 20.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177468, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 56.57})
(19, 23, {'free_bw': 31.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(19, 20, {'free_bw': 21.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(19, 24, {'free_bw': 23.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(23, 27, {'free_bw': 23.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(23, 26, {'free_bw': 30.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 32.02})
(23, 24, {'free_bw': 24.99980815347722, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(20, 24, {'free_bw': 11.999808153477218, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00019184652278177451, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(27, 24, {'free_bw': 37.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(27, 30, {'free_bw': 15.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088734e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(27, 26, {'free_bw': 30.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088734e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.41})
(25, 26, {'free_bw': 29.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088734e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 65.19})
(25, 28, {'free_bw': 31.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 39.05})
(30, 26, {'free_bw': 35.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 26.93})
(30, 29, {'free_bw': 32.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(29, 28, {'free_bw': 34.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088726e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
