(2, 1, {'free_bw': 38.9907712, 'delay': 0, 'loss': 0.0, 'used_bw': 0.009228799999999999, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 3, {'free_bw': 31.9904224, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0095776, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(2, 8, {'free_bw': 6.9907344, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0092656, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(2, 9, {'free_bw': 27.9907104, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0092896, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(1, 9, {'free_bw': 37.9912992, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0087008, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(3, 4, {'free_bw': 20.9912032, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008796799999999999, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 34.9912992, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0087008, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(4, 5, {'free_bw': 39.9912992, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0087008, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 38.9906144, 'delay': 0, 'loss': 0.0, 'used_bw': 0.009385600000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 8, {'free_bw': 4.9907104, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0092896, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(5, 6, {'free_bw': 30.9906144, 'delay': 0, 'loss': 0.0, 'used_bw': 0.009385600000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(6, 7, {'free_bw': 15.9909632, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0090368, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 8, {'free_bw': 32.99132, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00868, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 10.9908064, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0091936, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(8, 10, {'free_bw': 29.9908064, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0091936, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.83})
(8, 11, {'free_bw': 7.9914912, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008508799999999999, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(9, 10, {'free_bw': 27.9911728, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0088272, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 25.991512, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008488, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 12, {'free_bw': 33.991512, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008488, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(11, 16, {'free_bw': 20.9916832, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0083168, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 70.71})
(11, 14, {'free_bw': 17.9911104, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008889600000000001, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(11, 15, {'free_bw': 33.991512, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008488, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(12, 13, {'free_bw': 22.9915872, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0084128, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(12, 14, {'free_bw': 22.9909984, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0090016, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(13, 14, {'free_bw': 21.9909984, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0090016, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(13, 20, {'free_bw': 29.9910224, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0089776, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(16, 17, {'free_bw': 25.9910944, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0089056, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 15, {'free_bw': 38.9909984, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0090016, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(17, 15, {'free_bw': 31.9909984, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0090016, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 44.72})
(17, 22, {'free_bw': 34.9917792, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008220799999999999, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(17, 18, {'free_bw': 7.9910944, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0089056, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.0})
(17, 21, {'free_bw': 27.9910944, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0089056, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(15, 14, {'free_bw': 13.991512, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008488, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(15, 18, {'free_bw': 17.9910944, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0089056, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(15, 19, {'free_bw': 22.9910944, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0089056, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 53.85})
(14, 19, {'free_bw': 27.9910944, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0089056, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(20, 24, {'free_bw': 11.9910944, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0089056, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(20, 19, {'free_bw': 21.9911184, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0088816, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
(24, 23, {'free_bw': 24.9910944, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0089056, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 22.36})
(24, 19, {'free_bw': 23.9910944, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0089056, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(24, 27, {'free_bw': 37.9919872, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0080128, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(19, 23, {'free_bw': 31.9909472, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0090528, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(19, 18, {'free_bw': 10.991608, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008392, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(23, 22, {'free_bw': 23.9910944, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0089056, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.25})
(23, 18, {'free_bw': 20.9917792, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008220799999999999, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 56.57})
(23, 27, {'free_bw': 23.9911904, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0088096, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(23, 26, {'free_bw': 30.9911904, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0088096, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 32.02})
(22, 25, {'free_bw': 10.9917792, 'delay': 0, 'loss': 0.0, 'used_bw': 0.008220799999999999, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 43.01})
(22, 18, {'free_bw': 17.9910944, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0089056, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.4})
(22, 21, {'free_bw': 27.9912656, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0087344, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 60.21})
