loading app simple_switch_stp_13.py
loading app ryu.controller.ofp_handler
instantiating app None of Stp
creating context stplib
instantiating app simple_switch_stp_13.py of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:08 00:00:00:00:00:02 1
packet in 1152921504606846983 00:00:00:00:00:02 00:00:00:00:00:08 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:09 00:00:00:00:00:02 1
packet in 1152921504606846983 00:00:00:00:00:09 00:00:00:00:00:02 3
packet in 1152921504606846983 00:00:00:00:00:02 00:00:00:00:00:09 2
packet in 1152921504606846984 00:00:00:00:00:02 00:00:00:00:00:09 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:10 00:00:00:00:00:02 1
packet in 1152921504606846983 00:00:00:00:00:10 00:00:00:00:00:02 4
packet in 1152921504606846983 00:00:00:00:00:02 00:00:00:00:00:10 2
packet in 1152921504606846985 00:00:00:00:00:02 00:00:00:00:00:10 2
packet in 1152921504606846983 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:08 00:00:00:00:00:03 1
packet in 1152921504606846983 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:09 00:00:00:00:00:03 1
packet in 1152921504606846983 00:00:00:00:00:09 00:00:00:00:00:03 3
packet in 1152921504606846983 00:00:00:00:00:07 00:00:00:00:00:02 2
packet in 1152921504606846984 00:00:00:00:00:07 00:00:00:00:00:02 2
packet in 1152921504606846985 00:00:00:00:00:07 00:00:00:00:00:02 2
packet in 1152921504606846983 00:00:00:00:00:05 00:00:00:00:00:02 2
packet in 1152921504606846985 00:00:00:00:00:05 00:00:00:00:00:02 2
packet in 1152921504606846984 00:00:00:00:00:05 00:00:00:00:00:02 2
packet in 1152921504606846983 00:00:00:00:00:04 00:00:00:00:00:02 2
packet in 1152921504606846983 00:00:00:00:00:06 00:00:00:00:00:02 2
packet in 1152921504606846985 00:00:00:00:00:04 00:00:00:00:00:02 2
packet in 1152921504606846985 00:00:00:00:00:06 00:00:00:00:00:02 2
packet in 1152921504606846984 00:00:00:00:00:04 00:00:00:00:00:02 2
packet in 1152921504606846984 00:00:00:00:00:06 00:00:00:00:00:02 2
packet in 1152921504606846983 00:00:00:00:00:03 00:00:00:00:00:02 2
packet in 1152921504606846985 00:00:00:00:00:03 00:00:00:00:00:02 2
packet in 1152921504606846984 00:00:00:00:00:03 00:00:00:00:00:02 2
packet in 1152921504606846985 00:00:00:00:00:10 00:00:00:00:00:02 1
packet in 1152921504606846984 00:00:00:00:00:09 00:00:00:00:00:02 1
packet in 1152921504606846983 00:00:00:00:00:08 00:00:00:00:00:02 1
packet in 1152921504606846983 00:00:00:00:00:10 00:00:00:00:00:02 4
packet in 1152921504606846983 00:00:00:00:00:09 00:00:00:00:00:02 3
packet in 1152921504606846984 00:00:00:00:00:08 00:00:00:00:00:02 2
packet in 1152921504606846985 00:00:00:00:00:08 00:00:00:00:00:02 2
packet in 1152921504606846984 00:00:00:00:00:10 00:00:00:00:00:02 2
packet in 1152921504606846985 00:00:00:00:00:09 00:00:00:00:00:02 2
packet in 1152921504606846983 00:00:00:00:00:02 00:00:00:00:00:08 2
packet in 1152921504606846983 00:00:00:00:00:02 00:00:00:00:00:10 2
packet in 1152921504606846983 00:00:00:00:00:02 00:00:00:00:00:09 2
packet in 1152921504606846985 00:00:00:00:00:02 00:00:00:00:00:10 2
packet in 1152921504606846984 00:00:00:00:00:02 00:00:00:00:00:09 2
packet in 1152921504606846983 00:00:00:00:00:08 00:00:00:00:00:03 1
packet in 1152921504606846983 ee:3f:46:c3:6a:28 33:33:00:00:00:02 2
packet in 1152921504606846985 ee:3f:46:c3:6a:28 33:33:00:00:00:02 2
packet in 1152921504606846984 ee:3f:46:c3:6a:28 33:33:00:00:00:02 2
packet in 1152921504606846984 42:9c:ea:45:89:b8 33:33:00:00:00:02 2
packet in 1152921504606846983 f2:22:ee:2b:1e:20 33:33:00:00:00:02 3
packet in 1152921504606846985 f2:22:ee:2b:1e:20 33:33:00:00:00:02 2
packet in 1152921504606846983 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:10 00:00:00:00:00:03 1
packet in 1152921504606846983 00:00:00:00:00:10 00:00:00:00:00:03 4
packet in 1152921504606846983 00:00:00:00:00:03 00:00:00:00:00:10 2
packet in 1152921504606846985 00:00:00:00:00:03 00:00:00:00:00:10 2
packet in 1152921504606846983 00:00:00:00:00:04 00:00:00:00:00:02 2
packet in 1152921504606846985 00:00:00:00:00:04 00:00:00:00:00:02 2
packet in 1152921504606846984 00:00:00:00:00:04 00:00:00:00:00:02 2
packet in 1152921504606846983 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:08 00:00:00:00:00:04 1
packet in 1152921504606846984 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:04 00:00:00:00:00:08 2
packet in 1152921504606846985 00:00:00:00:00:04 00:00:00:00:00:08 2
packet in 1152921504606846984 00:00:00:00:00:04 00:00:00:00:00:08 2
packet in 1152921504606846983 00:00:00:00:00:08 00:00:00:00:00:04 1
packet in 1152921504606846983 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:09 00:00:00:00:00:04 1
packet in 1152921504606846983 00:00:00:00:00:09 00:00:00:00:00:04 3
packet in 1152921504606846983 00:00:00:00:00:04 00:00:00:00:00:09 2
packet in 1152921504606846984 00:00:00:00:00:04 00:00:00:00:00:09 2
packet in 1152921504606846983 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:10 00:00:00:00:00:04 1
packet in 1152921504606846983 00:00:00:00:00:10 00:00:00:00:00:04 4
packet in 1152921504606846983 00:00:00:00:00:04 00:00:00:00:00:10 2
packet in 1152921504606846985 00:00:00:00:00:04 00:00:00:00:00:10 2
packet in 1152921504606846983 00:00:00:00:00:05 00:00:00:00:00:02 2
packet in 1152921504606846985 00:00:00:00:00:05 00:00:00:00:00:02 2
packet in 1152921504606846984 00:00:00:00:00:05 00:00:00:00:00:02 2
packet in 1152921504606846983 00:00:00:00:00:05 00:00:00:00:00:03 2
packet in 1152921504606846985 00:00:00:00:00:05 00:00:00:00:00:03 2
packet in 1152921504606846984 00:00:00:00:00:05 00:00:00:00:00:03 2
packet in 1152921504606846983 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:08 00:00:00:00:00:05 1
packet in 1152921504606846983 00:00:00:00:00:05 00:00:00:00:00:08 2
packet in 1152921504606846983 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:09 00:00:00:00:00:05 1
packet in 1152921504606846983 00:00:00:00:00:09 00:00:00:00:00:05 3
packet in 1152921504606846983 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:10 00:00:00:00:00:05 1
packet in 1152921504606846983 00:00:00:00:00:10 00:00:00:00:00:05 4
packet in 1152921504606846983 0e:25:03:94:42:d0 33:33:00:00:00:02 2
packet in 1152921504606846985 0e:25:03:94:42:d0 33:33:00:00:00:02 2
packet in 1152921504606846984 0e:25:03:94:42:d0 33:33:00:00:00:02 2
packet in 1152921504606846983 6a:c1:ed:fa:6d:5e 33:33:00:00:00:02 2
packet in 1152921504606846985 6a:c1:ed:fa:6d:5e 33:33:00:00:00:02 2
packet in 1152921504606846984 6a:c1:ed:fa:6d:5e 33:33:00:00:00:02 2
packet in 1152921504606846983 00:00:00:00:00:06 00:00:00:00:00:03 2
packet in 1152921504606846985 00:00:00:00:00:06 00:00:00:00:00:03 2
packet in 1152921504606846984 00:00:00:00:00:06 00:00:00:00:00:03 2
packet in 1152921504606846983 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 2
