loading app simple_switch_stp_13.py
loading app ryu.controller.ofp_handler
instantiating app None of Stp
creating context stplib
instantiating app simple_switch_stp_13.py of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1152921504606846978 1a:44:c4:88:8d:33 33:33:00:00:00:02 5
packet in 1152921504606846977 1a:44:c4:88:8d:33 33:33:00:00:00:02 2
packet in 1152921504606846979 1a:44:c4:88:8d:33 33:33:00:00:00:02 2
packet in 1152921504606846978 f2:22:ee:2b:1e:20 33:33:00:00:00:02 3
packet in 1152921504606846979 f6:41:fc:2d:59:d6 33:33:00:00:00:02 4
packet in 1152921504606846977 f6:41:fc:2d:59:d6 33:33:00:00:00:02 3
packet in 1152921504606846977 f2:22:ee:2b:1e:20 33:33:00:00:00:02 2
packet in 1152921504606846979 f2:22:ee:2b:1e:20 33:33:00:00:00:02 2
packet in 1152921504606846978 f6:41:fc:2d:59:d6 33:33:00:00:00:02 2
packet in 1152921504606846978 72:03:43:f3:d7:ad 33:33:00:00:00:02 2
packet in 1152921504606846978 f2:22:ee:2b:1e:20 33:33:00:00:00:fb 3
packet in 1152921504606846977 f2:22:ee:2b:1e:20 33:33:00:00:00:fb 2
packet in 1152921504606846979 f2:22:ee:2b:1e:20 33:33:00:00:00:fb 2
packet in 1152921504606846978 1a:44:c4:88:8d:33 33:33:00:00:00:fb 5
packet in 1152921504606846977 1a:44:c4:88:8d:33 33:33:00:00:00:fb 2
packet in 1152921504606846979 1a:44:c4:88:8d:33 33:33:00:00:00:fb 2
packet in 1152921504606846977 1e:51:ae:23:78:6f 33:33:00:00:00:fb 3
packet in 1152921504606846978 06:be:be:71:75:6d 33:33:00:00:00:fb 4
packet in 1152921504606846978 1e:51:ae:23:78:6f 33:33:00:00:00:fb 2
packet in 1152921504606846977 06:be:be:71:75:6d 33:33:00:00:00:fb 2
packet in 1152921504606846979 06:be:be:71:75:6d 33:33:00:00:00:fb 2
packet in 1152921504606846978 72:03:43:f3:d7:ad 33:33:00:00:00:fb 2
packet in 1152921504606846977 02:94:2a:f1:65:4a 33:33:00:00:00:fb 2
packet in 1152921504606846979 02:94:2a:f1:65:4a 33:33:00:00:00:fb 2
packet in 1152921504606846977 da:35:08:0c:b1:6d 33:33:00:00:00:fb 4
packet in 1152921504606846979 da:35:08:0c:b1:6d 33:33:00:00:00:fb 2
packet in 1152921504606846978 da:35:08:0c:b1:6d 33:33:00:00:00:fb 2
packet in 1152921504606846979 f6:41:fc:2d:59:d6 33:33:00:00:00:fb 4
packet in 1152921504606846977 f6:41:fc:2d:59:d6 33:33:00:00:00:fb 3
packet in 1152921504606846978 f6:41:fc:2d:59:d6 33:33:00:00:00:fb 2
packet in 1152921504606846979 12:f4:6b:ac:de:f7 33:33:00:00:00:fb 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:04 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:05 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 1e:51:ae:23:78:6f 33:33:00:00:00:02 3
packet in 1152921504606846978 1e:51:ae:23:78:6f 33:33:00:00:00:02 2
packet in 1152921504606846977 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:06 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:07 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:07 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:07 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:07 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:07 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:07 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:07 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:07 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:07 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:08 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:08 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:08 ff:ff:ff:ff:ff:ff 2
