loading app simple_switch_stp_13.py
loading app ryu.controller.ofp_handler
instantiating app None of Stp
creating context stplib
instantiating app simple_switch_stp_13.py of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 f6:41:fc:2d:59:d6 33:33:00:00:00:02 3
packet in 1152921504606846978 f6:41:fc:2d:59:d6 33:33:00:00:00:02 2
packet in 1152921504606846978 c6:88:17:c0:c3:83 33:33:00:00:00:02 2
packet in 1152921504606846978 22:81:77:40:a2:17 33:33:00:00:00:02 4
packet in 1152921504606846977 22:81:77:40:a2:17 33:33:00:00:00:02 2
packet in 1152921504606846978 fe:c8:ea:e0:28:f4 33:33:00:00:00:02 5
packet in 1152921504606846978 2a:db:c3:db:c1:42 33:33:00:00:00:02 3
packet in 1152921504606846977 fe:c8:ea:e0:28:f4 33:33:00:00:00:02 2
packet in 1152921504606846977 2a:db:c3:db:c1:42 33:33:00:00:00:02 2
packet in 1152921504606846977 92:58:1b:44:7e:32 33:33:00:00:00:02 2
packet in 1152921504606846977 f6:41:fc:2d:59:d6 33:33:00:00:00:fb 3
packet in 1152921504606846977 92:58:1b:44:7e:32 33:33:00:00:00:fb 2
packet in 1152921504606846978 f6:41:fc:2d:59:d6 33:33:00:00:00:fb 2
packet in 1152921504606846978 c6:88:17:c0:c3:83 33:33:00:00:00:fb 2
packet in 1152921504606846978 2a:db:c3:db:c1:42 33:33:00:00:00:fb 3
packet in 1152921504606846977 2a:db:c3:db:c1:42 33:33:00:00:00:fb 2
packet in 1152921504606846978 fe:c8:ea:e0:28:f4 33:33:00:00:00:fb 5
packet in 1152921504606846977 fe:c8:ea:e0:28:f4 33:33:00:00:00:fb 2
packet in 1152921504606846978 22:81:77:40:a2:17 33:33:00:00:00:fb 4
packet in 1152921504606846977 22:81:77:40:a2:17 33:33:00:00:00:fb 2
packet in 1152921504606846977 f6:41:fc:2d:59:d6 33:33:00:00:00:02 3
packet in 1152921504606846978 f6:41:fc:2d:59:d6 33:33:00:00:00:02 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 22:81:77:40:a2:17 33:33:00:00:00:02 4
packet in 1152921504606846977 22:81:77:40:a2:17 33:33:00:00:00:02 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 c6:88:17:c0:c3:83 33:33:00:00:00:02 2
packet in 1152921504606846978 2a:db:c3:db:c1:42 33:33:00:00:00:02 3
packet in 1152921504606846977 2a:db:c3:db:c1:42 33:33:00:00:00:02 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 fe:c8:ea:e0:28:f4 33:33:00:00:00:02 5
packet in 1152921504606846977 fe:c8:ea:e0:28:f4 33:33:00:00:00:02 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 92:58:1b:44:7e:32 33:33:00:00:00:02 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 f6:41:fc:2d:59:d6 33:33:00:00:00:fb 3
packet in 1152921504606846977 92:58:1b:44:7e:32 33:33:00:00:00:fb 2
packet in 1152921504606846978 f6:41:fc:2d:59:d6 33:33:00:00:00:fb 2
packet in 1152921504606846978 c6:88:17:c0:c3:83 33:33:00:00:00:fb 2
packet in 1152921504606846978 2a:db:c3:db:c1:42 33:33:00:00:00:fb 3
packet in 1152921504606846977 2a:db:c3:db:c1:42 33:33:00:00:00:fb 2
packet in 1152921504606846978 fe:c8:ea:e0:28:f4 33:33:00:00:00:fb 5
packet in 1152921504606846977 fe:c8:ea:e0:28:f4 33:33:00:00:00:fb 2
packet in 1152921504606846978 22:81:77:40:a2:17 33:33:00:00:00:fb 4
packet in 1152921504606846977 22:81:77:40:a2:17 33:33:00:00:00:fb 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:03 00:00:00:00:00:02 1
packet in 1152921504606846977 00:00:00:00:00:03 00:00:00:00:00:02 2
packet in 1152921504606846977 00:00:00:00:00:02 00:00:00:00:00:03 1
packet in 1152921504606846978 00:00:00:00:00:02 00:00:00:00:00:03 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
