loading app simple_switch_stp_13.py
loading app ryu.controller.ofp_handler
instantiating app None of Stp
creating context stplib
instantiating app simple_switch_stp_13.py of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1152921504606846977 0e:8f:95:fb:3a:b9 33:33:00:00:00:02 2
packet in 1152921504606846979 0e:8f:95:fb:3a:b9 33:33:00:00:00:02 2
packet in 1152921504606846978 e2:97:e0:31:07:71 33:33:00:00:00:02 3
packet in 1152921504606846977 e2:b7:dc:6f:e5:3e 33:33:00:00:00:02 3
packet in 1152921504606846978 e2:b7:dc:6f:e5:3e 33:33:00:00:00:02 2
packet in 1152921504606846977 e2:97:e0:31:07:71 33:33:00:00:00:02 2
packet in 1152921504606846979 1a:36:ad:13:f6:1c 33:33:00:00:00:02 4
packet in 1152921504606846978 4e:5f:8b:b6:f1:4b 33:33:00:00:00:02 2
packet in 1152921504606846977 1a:36:ad:13:f6:1c 33:33:00:00:00:02 3
packet in 1152921504606846978 1a:36:ad:13:f6:1c 33:33:00:00:00:02 2
packet in 1152921504606846978 ae:4a:3a:ab:b0:0d 33:33:00:00:00:02 5
packet in 1152921504606846977 ae:4a:3a:ab:b0:0d 33:33:00:00:00:02 2
packet in 1152921504606846979 ae:4a:3a:ab:b0:0d 33:33:00:00:00:02 2
packet in 1152921504606846979 02:23:cf:95:c7:a2 33:33:00:00:00:02 2
packet in 1152921504606846978 6a:c1:ed:fa:6d:5e 33:33:00:00:00:fb 4
packet in 1152921504606846977 6a:c1:ed:fa:6d:5e 33:33:00:00:00:fb 2
packet in 1152921504606846979 6a:c1:ed:fa:6d:5e 33:33:00:00:00:fb 2
packet in 1152921504606846979 02:23:cf:95:c7:a2 33:33:00:00:00:fb 2
packet in 1152921504606846977 e2:b7:dc:6f:e5:3e 33:33:00:00:00:fb 3
packet in 1152921504606846978 e2:b7:dc:6f:e5:3e 33:33:00:00:00:fb 2
packet in 1152921504606846978 4e:5f:8b:b6:f1:4b 33:33:00:00:00:fb 2
packet in 1152921504606846977 92:23:85:00:aa:8d 33:33:00:00:00:fb 4
packet in 1152921504606846979 92:23:85:00:aa:8d 33:33:00:00:00:fb 2
packet in 1152921504606846978 92:23:85:00:aa:8d 33:33:00:00:00:fb 2
packet in 1152921504606846978 ae:4a:3a:ab:b0:0d 33:33:00:00:00:fb 5
packet in 1152921504606846977 ae:4a:3a:ab:b0:0d 33:33:00:00:00:fb 2
packet in 1152921504606846979 ae:4a:3a:ab:b0:0d 33:33:00:00:00:fb 2
packet in 1152921504606846978 e2:97:e0:31:07:71 33:33:00:00:00:fb 3
packet in 1152921504606846977 0e:8f:95:fb:3a:b9 33:33:00:00:00:fb 2
packet in 1152921504606846977 e2:97:e0:31:07:71 33:33:00:00:00:fb 2
packet in 1152921504606846979 0e:8f:95:fb:3a:b9 33:33:00:00:00:fb 2
packet in 1152921504606846979 e2:97:e0:31:07:71 33:33:00:00:00:fb 2
packet in 1152921504606846979 1a:36:ad:13:f6:1c 33:33:00:00:00:fb 4
packet in 1152921504606846977 1a:36:ad:13:f6:1c 33:33:00:00:00:fb 3
packet in 1152921504606846978 1a:36:ad:13:f6:1c 33:33:00:00:00:fb 2
packet in 1152921504606846978 6a:c1:ed:fa:6d:5e 33:33:00:00:00:02 4
packet in 1152921504606846977 92:23:85:00:aa:8d 33:33:00:00:00:02 4
packet in 1152921504606846977 6a:c1:ed:fa:6d:5e 33:33:00:00:00:02 2
packet in 1152921504606846978 92:23:85:00:aa:8d 33:33:00:00:00:02 2
packet in 1152921504606846979 92:23:85:00:aa:8d 33:33:00:00:00:02 2
packet in 1152921504606846979 6a:c1:ed:fa:6d:5e 33:33:00:00:00:02 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:03 00:00:00:00:00:02 1
packet in 1152921504606846977 00:00:00:00:00:03 00:00:00:00:00:02 2
packet in 1152921504606846977 00:00:00:00:00:02 00:00:00:00:00:03 1
packet in 1152921504606846978 00:00:00:00:00:02 00:00:00:00:00:03 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:04 00:00:00:00:00:02 1
packet in 1152921504606846977 00:00:00:00:00:04 00:00:00:00:00:02 3
packet in 1152921504606846977 00:00:00:00:00:02 00:00:00:00:00:04 1
packet in 1152921504606846979 00:00:00:00:00:02 00:00:00:00:00:04 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
